priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,latitude,longitude
2619.04761904762,2019,2019-12-06,F,L,220000,CF23 5AP,W06000015,{9B361206-D153-1904-E053-6B04A8C0EEB5},22651609,84.0,4.0,11,60,74,England and Wales: 1900-1929,51.49386,-3.15212
2770.67669172932,2021,2021-12-15,T,F,368500,CF23 5AQ,W06000015,{DBA933FA-2B65-669D-E053-6B04A8C0AD56},22750714,133.0,6.0,11,69,80,England and Wales: 1900-1929,51.4934299,-3.15299
3561.13277937935,2021,2021-03-26,T,F,420000,CF23 5AQ,W06000015,{C8A3A576-B717-0425-E053-6C04A8C0947B},22734022,117.94,5.0,11,61,75,England and Wales: 1900-1929,51.4934299,-3.15299
4232.55992920082,2022,2022-03-04,D,F,440000,CF23 5AR,W06000015,{E073986A-EFB4-2134-E053-6C04A8C0233B},22669191,103.956,5.0,11,60,74,England and Wales: 1900-1929,51.49289,-3.15289
3495.57522123894,2021,2021-10-06,T,F,395000,CF23 5AR,W06000015,{D22473F6-31FA-7B40-E053-6C04A8C0A630},22746110,113.0,6.0,11,68,82,England and Wales: 1950-1966,51.49289,-3.15289
2948.29150287269,2019,2019-03-01,T,F,390000,CF23 5AR,W06000015,{85866A65-5721-143F-E053-6B04A8C06A15},22695305,132.28,5.0,11,59,71,England and Wales: 1900-1929,51.49289,-3.15289
3382.09847412301,2021,2021-06-24,T,F,430000,CF23 5AR,W06000015,{D22473F6-2F81-7B40-E053-6C04A8C0A630},22656685,127.14,6.0,11,64,77,England and Wales: 1900-1929,51.49289,-3.15289
4500.0,2022,2022-01-14,T,F,486000,CF23 5AR,W06000015,{DE2D0CE0-49E3-51EE-E053-6C04A8C00671},22630457,108.0,6.0,11,67,82,England and Wales: 1930-1949,51.49289,-3.15289
2245.50898203593,2020,2020-07-28,S,F,375000,CF23 5AR,W06000015,{AE4D86D4-7A97-4619-E053-6C04A8C03CD0},22677851,167.0,9.0,11,61,74,England and Wales: before 1900,51.49289,-3.15289
2953.27102803738,2020,2020-01-24,S,F,316000,CF23 5AS,W06000015,{9FF0D96A-40BF-11ED-E053-6C04A8C06383},22670830,107.0,5.0,11,66,84,England and Wales: 1930-1949,51.49222,-3.15182
2528.66242038217,2020,2020-04-03,T,F,397000,CF23 5AT,W06000015,{A96E4ACC-A86C-9205-E053-6C04A8C0DA09},22609805,157.0,6.0,12,65,82,England and Wales: 1900-1929,51.49222,-3.15313
2452.05479452055,2019,2019-11-11,T,F,358000,CF23 5AT,W06000015,{9B361206-D288-1904-E053-6B04A8C0EEB5},22694262,146.0,6.0,11,69,80,England and Wales: 1900-1929,51.49222,-3.15313
3583.33333333333,2021,2021-06-29,T,F,430000,CF23 5AT,W06000015,{D4D42645-689F-27F6-E053-6C04A8C0A572},22714984,120.0,5.0,12,60,79,England and Wales: 1930-1949,51.49222,-3.15313
3556.48535564854,2021,2021-09-15,S,F,510000,CF23 5AT,W06000015,{D4D42645-6982-27F6-E053-6C04A8C0A572},22706540,143.4,6.0,11,40,68,England and Wales: 1900-1929,51.49222,-3.15313
3080.35714285714,2019,2019-07-12,T,F,345000,CF23 5AU,W06000015,{919FEC05-DC14-9A90-E053-6C04A8C0A300},22693690,112.0,6.0,11,50,80,England and Wales: 1930-1949,51.49312,-3.1541199
1886.9506876887,2022,2022-04-08,F,L,112500,CF23 5AY,W06000015,{DE2D0CE0-4C83-51EE-E053-6C04A8C00671},22715919,59.62,2.0,11,65,79,England and Wales: 1983-1990,51.49977,-3.16251
2014.65201465201,2021,2021-01-22,F,L,132000,CF23 5AY,W06000015,{BEF7EBBF-6BEF-7A76-E053-6B04A8C092F7},22682008,65.52,3.0,11,81,84,England and Wales: 1991-1995,51.49977,-3.16251
2298.45028730629,2021,2021-10-21,F,L,132000,CF23 5AY,W06000015,{D22473F6-3293-7B40-E053-6C04A8C0A630},22611112,57.43,3.0,12,76,76,England and Wales: 1983-1990,51.49977,-3.16251
2300.0,2020,2020-07-17,F,L,138000,CF23 5AZ,W06000015,{BEF7EBBE-AEF5-7A76-E053-6B04A8C092F7},22624423,60.0,3.0,11,77,80,England and Wales: 1991-1995,51.49991,-3.16181
2417.9912073047,2019,2019-10-07,F,L,143000,CF23 5AZ,W06000015,{965B6D92-080A-95E4-E053-6C04A8C07729},22649180,59.14,4.0,11,78,84,England and Wales: 1991-1995,51.49991,-3.16181
3243.24324324324,2021,2021-12-13,S,F,480000,CF23 5BB,W06000015,{D707E534-F40A-0AD9-E053-6B04A8C067CC},22742867,148.0,7.0,11,70,81,England and Wales: before 1900,51.49629,-3.16355
1642.06642066421,2019,2019-04-01,T,F,445000,CF23 5BB,W06000015,{87E1551E-AC4C-6405-E053-6C04A8C0B2EE},22640204,271.0,9.0,11,65,77,England and Wales: 1900-1929,51.49629,-3.16355
1171.875,2019,2019-03-20,T,F,150000,CF23 5BB,W06000015,{85866A65-5735-143F-E053-6B04A8C06A15},22722072,128.0,6.0,11,55,71,England and Wales: before 1900,51.49629,-3.16355
1979.86577181208,2019,2019-06-03,T,F,295000,CF23 5BD,W06000015,{8F1B26BD-7531-53DB-E053-6C04A8C03649},22666539,149.0,7.0,11,60,79,England and Wales: 1900-1929,51.49585,-3.16233
3495.92682926829,2021,2021-02-26,T,F,429999,CF23 5BD,W06000015,{C6209F5F-F737-295E-E053-6C04A8C0DDCC},22699502,123.0,5.0,12,70,84,England and Wales: 1900-1929,51.49585,-3.16233
2422.33009708738,2022,2022-02-04,T,F,499000,CF23 5BE,W06000015,{D93B27B1-81DA-3100-E053-6C04A8C08887},22657223,206.0,10.0,11,60,76,England and Wales: 1900-1929,51.49569,-3.16183
3963.96396396396,2021,2021-10-04,T,F,440000,CF23 5BN,W06000015,{D4D42646-7F8C-27F6-E053-6C04A8C0A572},22677343,111.0,5.0,12,84,86,England and Wales: 1930-1949,51.49472,-3.15957
2447.55244755245,2021,2021-02-26,T,F,350000,CF23 5BN,W06000015,{CD5A9DCC-70C0-310A-E053-6C04A8C00A1F},22743190,143.0,7.0,11,55,79,England and Wales: 1900-1929,51.49472,-3.15957
3185.18518518519,2020,2020-03-27,T,F,430000,CF23 5BP,W06000015,{A96E4ACC-A265-9205-E053-6C04A8C0DA09},22681294,135.0,6.0,11,63,78,England and Wales: 1900-1929,51.49419,-3.15792
